,player0,rating0,player1,rating1,player2,rating2,player3,rating3,player4,rating4,player5,rating5,player6,rating6,player7,rating7,player8,rating8,player9,rating9,player10,rating10,player11,rating11,player12,rating12,player13,rating13,player14,rating14,player15,rating15,player16,rating16,player17,rating17,player18,rating18,player19,rating19,player20,rating20,player21,rating21,player22,rating22,player23,rating23,player24,rating24,player25,rating25,player26,rating26,player27,rating27,player28,rating28,player29,rating29,player30,rating30,player31,rating31,player32,rating32,player33,rating33,words,u_words,sents,word1,word_count1,word2,word_count2,word3,word_count3,word4,word_count4,word5,word_count5,word6,word_count6,word7,word_count7,word8,word_count8,word9,word_count9,word10,word_count10
0,McCarthy,True,Yoshida,True,Stephens,True,Hoedt,True,Soares,False,Hojbjerg,False,Romeu,False,Bertrand,False,Tadic,False,Redmond,False,Austin,False,Long,False,Ward-Prowse,True,McQueen,False,Bravo,False,Danilo,False,Laporte,False,Stones,False,Delph,False,Fernandinho,True,Gundogan,False,DeBruyne,False,Silva,False,Sane,True,Sterling,False,Jesus,True,Diaz,False,Foden,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,639,381,33,the,44,to,16,of,13,a,10,was,9,it,9,and,9,in,8,from,8,with,7
1,Pope,True,Lowton,False,Tarkowski,False,Long,False,Ward,True,Lennon,False,Gudmundsson,True,Westwood,False,Cork,False,Wood,True,Hendrick,True,Vokes,False,Wells,False,McNeil,False,Begovic,True,Daniels,False,Cook,False,Ake,False,Mings,False,Fraser,False,Surman,False,Hyndman,False,Ibe,True,King,True,Mousset,False,Gosling,False,Wilson,True,Defoe,True,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,660,351,25,the,58,in,19,to,17,a,17,of,13,and,9,-,8,we,8,season,7,is,7
2,Hennessey,False,Wan-Bissaka,True,Sakho,False,Tomkins,False,VanAanholt,True,McArthur,True,Cabaye,False,Loftus-Cheek,True,Milivojevic,False,Zaha,True,Townsend,False,Benteke,False,Foster,True,Nyom,False,Dawson,False,Hegazi,False,Gibbs,False,Brunt,False,Krychowiak,False,Livermore,False,McClean,False,Rodriguez,False,Rondon,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,511,310,26,the,34,a,20,to,13,in,9,and,9,for,8,of,8,his,6,was,6,goal,6
3,Karius,True,Alexander-Arnold,True,VanDijk,True,Lovren,True,Robertson,True,Wijnaldum,True,Henderson,True,Solanke,True,Salah,True,Mane,True,Firmino,True,Lallana,False,Woodburn,False,Ings,False,Ryan,True,Bong,False,Dunk,False,Duffy,False,Schelotto,False,March,False,Stephens,False,Propper,False,Kayal,False,Knockaert,False,Locadia,False,Gross,False,Murray,False,Goldson,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,419,249,15,the,20,a,15,to,12,in,9,and,9,on,9,of,8,Liverpool,7,his,5,League,5
4,Romero,False,Bailly,True,Rojo,False,Blind,False,Darmian,False,Carrick,True,Mata,False,Young,False,McTominay,False,Rashford,False,Sanchez,False,Shaw,False,Gomes,False,Janmaat,False,Cathcart,False,Kabasele,False,Holebas,False,Hughes,True,Doucoure,False,Richarlison,False,Pereyra,False,Gray,False,Mariappa,False,Deeney,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,410,245,17,the,33,to,13,in,11,of,9,a,8,United,7,as,7,with,6,but,5,season,5
5,Lossl,True,Hadergjonaj,False,Jorgensen,True,Schindler,True,Kongolo,True,Lowe,False,Hogg,False,Mooy,True,Pritchard,True,Ince,True,Mounie,True,Depoitre,False,Billing,False,Ospina,True,Bellerin,False,Mustafi,True,Holding,True,Kolasinac,True,Ramsey,False,Xhaka,True,Iwobi,False,Mkhitaryan,False,Lacazette,True,Aubameyang,True,Welbeck,True,Monreal,False,Maitland-Niles,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,484,290,18,the,34,to,14,of,13,in,12,a,12,as,11,was,11,and,9,his,8,with,6
6,Fabianski,True,VanDerHoorn,False,Mawson,False,Rangel,False,Olsson,False,Dyer,False,Routledge,False,King,False,Carroll,False,JAyew,False,AAyew,False,Abraham,True,Britton,True,Clucas,False,Butland,True,Bauer,True,Pieters,True,Shawcross,False,Zouma,True,Allen,False,Ndiaye,True,Sorenson,True,Shaqiri,True,Crouch,True,Diouf,False,Fletcher,True,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,562,326,30,the,26,and,18,a,13,to,12,his,11,of,10,in,9,with,8,I,8,-,7
7,Dubravka,True,Yedlin,False,Lascelles,True,Lejeune,True,Dummett,False,Diame,True,Shelvey,True,Ritchie,True,Perez,True,Murphy,True,Gayle,True,Joselu,False,Hayden,False,Courtois,False,Azpilicueta,False,Christensen,False,Cahill,False,Emerson,False,Kante,False,Bakayoko,False,Moses,False,Barkley,False,Hazard,False,Giroud,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,593,334,27,the,39,a,14,to,12,on,12,of,9,from,8,was,8,with,8,as,8,and,8
8,Lloris,True,Walker-Peters,True,Dier,False,Alderweireld,False,Rose,False,Wanyama,False,Sissoko,False,Moura,False,Eriksen,True,Lamela,True,Kane,True,Alli,False,Sanchez,True,Jakupovic,False,Simpson,False,Maguire,False,Morgan,False,Fuchs,False,Mahrez,True,Iborra,False,Silva,False,Gray,False,Iheanacho,True,Vardy,True,Diabate,True,Choudhury,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,431,263,16,the,25,and,15,in,11,to,10,his,9,a,8,from,7,when,7,Vardy,5,of,5
9,Adrian,True,Zabaleta,False,Rice,True,Ogbonna,True,Cresswell,True,Kouyate,True,Noble,True,JoaoMario,False,Masuaku,False,Lanzini,False,Arnautovic,True,Carroll,False,DeGea,True,Valencia,True,Lindelof,False,Jones,True,Smalling,False,Shaw,True,Herrera,True,McTominay,False,Pogba,False,Lingard,True,Sanchez,False,Rashford,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,464,277,16,the,33,West,9,in,9,a,9,Ham,9,to,8,and,8,on,8,of,8,but,7
